Number of Additional Surge Beds Being Planned,Empty Adult ICU Beds,Adult ICU Staffed Bed Capacity,Number of Ventilators Available,Number of Ventilators in Hospital,Number of COVID-19 Positive Patients In Hospital,Number of Fatalities related to COVID-19 in past 24 hours,Number of COVID-19 Positive Adults in ICU,Number of ALL Patients Under Investigation for COVID-19 In Hospital,Number of new patients admitted to an inpatient bed who had confirmed COVID-19 at the time of admission in the past 24 hours,Number of new patients admitted to an inpatient bed who had suspected COVID-19 at the time of admission in the past 24 hours,Staffed Inpatient Capacity (all bed types),Inpatient Census (all bed types),Adult ICU Census,Number of Ventilators In Use,Date,Empty Inpatient Beds (all types),cms_number,hospital_name,Coalition
0,4,18,8,9,3,0,0,2,1,1,113,46,14,1,11/7/2020,67,340096,WFBMC - Lexington MC,THPC
143,6,65,32,52,37,0,6,4,2,18,611,500,59,20,10/6/2020,111,340028,Cape Fear Valley Medical Center,MCRHC
7,0,0,4,4,0,0,0,1,0,1,25,13,0,0,10/11/2020,12,341327,Dosher Memorial Hospital,SHPR
10,1,10,15,16,2,0,0,10,0,5,84,60,9,1,10/3/2020,24,340119,Atrium Health - Stanly,MHPC
0,0,0,1,1,0,0,0,0,0,0,8,7,0,0,10/6/2020,1,340115,FirstHealth Moore Regional Hospital - Hoke Campus,MCRHC
0,3,6,2,2,0,0,0,0,0,0,19,12,3,0,11/21/2020,7,341322,St. Lukes Hospital,MAHPC
0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,11/30/2020,0,341316,Highlands Cashiers Hospital,MAHPC
0,0,1,3,4,2,0,0,2,2,2,25,17,1,1,11/4/2020,8,340087,McDowell Hospital,MAHPC
29,5,5,26,26,8,0,0,0,0,0,114,66,0,0,11/24/2020,48,340158,Novant Health - Brunswick MC,SHPR
10,1,18,37,44,24,0,5,21,1,8,203,145,17,7,11/19/2020,58,340021,Atrium Health - Cleveland,MHPC
0,7,10,9,9,3,1,3,13,1,10,125,30,3,0,10/31/2020,95,340013,Rutherford Regional Hospital,MAHPC
18,2,6,5,7,5,0,1,0,1,0,17,14,4,2,10/19/2020,3,340133,Martin General Hospital,EHPC
13,10,20,28,29,1,0,0,28,1,6,219,123,10,1,11/5/2020,96,340113,Atrium Health - Main,MHPC
,,,,,,,,,,,,,,,11/9/2020,,100,Durham VA,DHPC
12,2,10,17,18,8,0,3,0,1,0,54,49,8,1,10/22/2020,5,340186,Vidant Beaufort Hospital,EHPC
0,2,8,26,35,0,0,0,0,0,0,93,56,6,9,10/6/2020,37,342014,Highsmith-Rainey Specialty Hospital,MCRHC
20,7,23,50,56,10,0,2,0,1,0,309,232,16,6,11/11/2020,77,340131,CarolinaEast Medical Center,EHPC
277,43,111,67,130,39,0,9,1,3,2,868,797,68,63,10/12/2020,71,340030,Duke University Hospital,DHPC
14,0,0,5,5,2,0,0,3,0,0,17,6,0,0,11/22/2020,11,341324,The Outer Banks Hospital,EHPC
84,0,8,12,17,60,1,7,5,8,0,59,59,8,5,10/21/2020,0,340091,Women's Hospital,THPC
,,,,,,,,,,,,,,,11/10/2020,,101,Naval Medical Center Camp Lejeune,SHPR
25,3,8,14,14,3,0,3,0,1,0,88,49,5,0,11/30/2020,39,340144,Davis Regional MC,THPC
5,0,0,5,5,1,0,0,1,1,2,54,51,0,0,10/7/2020,3,340123,Randolph Hospital,THPC
6,0,0,10,10,1,0,0,2,0,0,59,31,0,0,10/11/2020,28,340037,Atrium Health - Kings Mountain,MHPC
18,2,30,40,51,14,1,6,50,2,16,281,261,28,11,10/12/2020,20,340098,Atrium Health - Pineville,MHPC
32,39,181,118,134,30,0,11,4,2,10,458,349,142,16,11/17/2020,109,340114,UNC Rex Hospital,MCRHC
23,4,28,11,22,16,0,6,2,4,1,293,197,24,11,10/13/2020,96,340004,WFBMC- High Point MC,THPC
8,0,0,5,5,1,0,0,2,0,0,17,13,0,0,11/5/2020,4,341324,The Outer Banks Hospital,EHPC
0,3,10,8,9,9,0,2,4,4,4,125,51,7,1,10/16/2020,74,340013,Rutherford Regional Hospital,MAHPC
0,0,0,1,1,0,0,0,0,0,0,8,6,0,0,11/16/2020,2,340115,FirstHealth Moore Regional Hospital - Hoke Campus,MCRHC
0,3,22,41,51,30,0,5,1,9,1,269,171,19,10,11/24/2020,98,340015,Novant Health - Rowan Medical Center,THPC
10,3,6,8,8,1,0,1,2,0,0,53,38,3,0,11/13/2020,15,340127,Granville Health System,DHPC
16,0,0,3,3,4,0,0,1,1,1,55,35,0,0,11/26/2020,20,340069,Wake Medical Center,CapRAC
0,3,18,0,7,0,0,0,1,0,1,113,48,15,7,10/16/2020,65,340096,WFBMC - Lexington MC,THPC
69,10,64,50,68,32,1,11,57,5,13,503,403,54,18,11/2/2020,100,340001,Atrium Health - Cabarrus,MHPC
136,5,76,97,123,21,0,11,2,0,6,522,462,71,26,10/4/2020,60,340069,Wake Medical Center,CapRAC
26,5,10,0,0,0,0,1,5,0,0,110,62,5,0,10/28/2020,48,340109,Sentara Albemarle Medical Center,EHPC
29,0,6,17,17,10,0,5,6,3,3,62,36,6,0,11/24/2020,26,340068,Columbus Regional Healthcare System,SHPR
