Number of Additional Surge Beds Being Planned,Empty Adult ICU Beds,Adult ICU Staffed Bed Capacity,Number of Ventilators Available,Number of Ventilators in Hospital,Number of COVID-19 Positive Patients In Hospital,Number of Fatalities related to COVID-19 in past 24 hours,Number of COVID-19 Positive Adults in ICU,Number of ALL Patients Under Investigation for COVID-19 In Hospital,Number of new patients admitted to an inpatient bed who had confirmed COVID-19 at the time of admission in the past 24 hours,Number of new patients admitted to an inpatient bed who had suspected COVID-19 at the time of admission in the past 24 hours,Staffed Inpatient Capacity (all bed types),Inpatient Census (all bed types),Adult ICU Census,Number of Ventilators In Use,Date,Empty Inpatient Beds (all types),cms_number,hospital,Coalition
143,6,65,32,52,37,0,6,4,2,18,611,500,59,20,10/6/2020,111,340028,Cape Fear Valley Medical Center,MCRHC
7,0,0,4,4,0,0,0,1,0,1,25,13,0,0,10/11/2020,12,341327,Dosher Memorial Hospital,SHPR
10,1,10,15,16,2,0,0,10,0,5,84,60,9,1,10/3/2020,24,340119,Atrium Health - Stanly,MHPC
0,0,0,1,1,0,0,0,0,0,0,8,7,0,0,10/6/2020,1,340115,FirstHealth Moore Regional Hospital - Hoke Campus,MCRHC
0,7,10,9,9,3,1,3,13,1,10,125,30,3,0,10/31/2020,95,340013,Rutherford Regional Hospital,MAHPC
18,2,6,5,7,5,0,1,0,1,0,17,14,4,2,10/19/2020,3,340133,Martin General Hospital,EHPC
12,2,10,17,18,8,0,3,0,1,0,54,49,8,1,10/22/2020,5,340186,Vidant Beaufort Hospital,EHPC
0,2,8,26,35,0,0,0,0,0,0,93,56,6,9,10/6/2020,37,342014,Highsmith-Rainey Specialty Hospital,MCRHC
277,43,111,67,130,39,0,9,1,3,2,868,797,68,63,10/12/2020,71,340030,Duke University Hospital,DHPC
84,0,8,12,17,60,1,7,5,8,0,59,59,8,5,10/21/2020,0,340091,Women's Hospital,THPC
5,0,0,5,5,1,0,0,1,1,2,54,51,0,0,10/7/2020,3,340123,Randolph Hospital,THPC
6,0,0,10,10,1,0,0,2,0,0,59,31,0,0,10/11/2020,28,340037,Atrium Health - Kings Mountain,MHPC
18,2,30,40,51,14,1,6,50,2,16,281,261,28,11,10/12/2020,20,340098,Atrium Health - Pineville,MHPC
23,4,28,11,22,16,0,6,2,4,1,293,197,24,11,10/13/2020,96,340004,WFBMC- High Point MC,THPC
0,3,10,8,9,9,0,2,4,4,4,125,51,7,1,10/16/2020,74,340013,Rutherford Regional Hospital,MAHPC
0,3,18,0,7,0,0,0,1,0,1,113,48,15,7,10/16/2020,65,340096,WFBMC - Lexington MC,THPC
136,5,76,97,123,21,0,11,2,0,6,522,462,71,26,10/4/2020,60,340069,Wake Medical Center,CapRAC
26,5,10,0,0,0,0,1,5,0,0,110,62,5,0,10/28/2020,48,340109,Sentara Albemarle Medical Center,EHPC
57,2,12,10,10,0,0,0,3,0,0,53,39,10,0,10/31/2020,14,340091,Cone Health Annie Penn Hospital,THPC
29,0,6,17,17,6,1,3,3,1,2,62,58,6,0,10/11/2020,4,340068,Columbus Regional Healthcare System,SHPR
12,0,0,2,2,0,0,0,0,0,0,6,5,0,0,10/29/2020,1,341304,Vidant Bertie Hospital,EHPC
25,12,24,20,24,12,0,4,0,2,0,204,150,12,4,10/2/2020,54,340116,Frye Regional MC,THPC
30,2,112,138,199,56,3,20,25,6,4,1037,780,110,61,10/22/2020,257,340014,Novant Health - Forsyth MC,THPC
8,0,0,5,5,0,0,0,4,0,0,17,13,0,0,10/21/2020,4,341324,The Outer Banks Hospital,EHPC
0,0,1,4,4,4,0,0,1,0,1,25,25,1,0,10/26/2020,0,340087,McDowell Hospital,MAHPC
,,,,,,,,,,,,,,,10/11/2020,,100,Durham VA,DHPC
0,25,91,61,91,29,0,4,23,6,12,717,590,66,30,10/27/2020,127,340002,Mission Health Hospital,MAHPC
,,,,,,,,,,,,,,,10/22/2020,,102,Womack Army Medical Center,MCRHC
56,5,8,10,10,2,0,0,0,1,0,68,22,3,0,10/5/2020,46,340024,Sampson Regional Medical Center,MCRHC
20,2,6,4,4,1,0,0,5,1,2,18,16,4,0,10/3/2020,2,340159,Person Memorial Hospital,DHPC
12,5,10,11,12,3,0,7,0,3,0,96,79,5,1,10/28/2020,17,340051,Watauga Medical Center,THPC
0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,10/2/2020,0,341316,Highlands Cashiers Hospital,MAHPC
429,15,62,84,120,35,0,9,4,8,23,764,607,47,36,10/13/2020,157,340141,New Hanover Regional MC,SHPR
0,0,0,0,0,0,0,0,0,0,0,36,17,0,0,10/18/2020,19,340187,WFBMC- Davie MC,THPC
31,0,4,23,24,1,0,0,1,1,0,66,50,4,1,10/28/2020,16,340014,Novant Health - Forsyth MC,THPC
20,6,23,49,56,29,1,6,0,6,0,309,274,17,7,10/7/2020,35,340131,CarolinaEast Medical Center,EHPC
63,2,17,31,43,9,2,0,7,0,4,249,140,15,12,10/5/2020,109,340010,Wayne UNC Health Care,EHPC
63,0,0,11,11,0,0,0,0,0,0,25,17,0,0,10/4/2020,8,341325,Ashe Memorial Hospital,THPC
37,4,12,12,14,0,0,2,0,0,2,142,134,8,2,10/21/2020,8,340042,Onslow Memorial Hospital,EHPC
7,0,0,4,4,0,0,0,0,0,0,18,15,0,0,10/26/2020,3,341307,Pender Memorial Hospital,SHPR
0,11,18,0,7,0,0,0,3,0,1,113,44,7,7,10/28/2020,69,340096,WFBMC - Lexington MC,THPC
0,0,9,3,3,1,0,0,2,1,1,37,20,9,0,10/13/2020,17,341326,Angel Medical Center,MAHPC
12,0,10,10,12,11,0,7,0,2,0,96,87,10,2,10/8/2020,9,340051,Watauga Medical Center,THPC
21,3,20,8,10,2,0,1,15,0,6,154,141,17,2,10/27/2020,13,340091,Cone Health Wesley Long Hospital,THPC
21,2,20,10,10,5,0,1,15,0,1,154,132,18,0,10/28/2020,22,340091,Cone Health Wesley Long Hospital,THPC
54,1,8,5,5,0,0,2,4,0,2,107,106,7,0,10/27/2020,1,340060,UNC Rockingham Hospital,THPC
177,30,125,56,105,39,0,19,5,4,3,938,628,95,49,10/27/2020,310,340047,Wake Forest Baptist MC – Winston Campus,THPC
,,,,,,,,,,,,,,,10/8/2020,,340024,Sampson Regional Medical Center,MCRHC
136,13,76,100,123,34,1,9,0,2,4,520,431,63,23,10/31/2020,89,340069,Wake Medical Center,CapRAC
,,,,,,,,,,,,,,,10/10/2020,,340186,Vidant Beaufort Hospital,EHPC
25,12,24,19,24,9,0,4,0,0,0,204,165,12,5,10/12/2020,39,340116,Frye Regional MC,THPC
0,0,0,2,2,4,0,0,1,0,0,32,10,0,0,10/30/2020,22,341329,Blue Ridge Regional Hospital,MAHPC
44,12,121,105,189,29,0,10,64,2,18,871,728,109,84,10/2/2020,143,340113,Atrium Health - Main,MHPC
16,0,10,10,13,22,0,8,0,2,0,112,104,10,3,10/23/2020,8,340008,Scotland Health Care System,MHPC
20,5,23,50,56,25,0,3,0,5,0,309,221,18,6,10/1/2020,88,340131,CarolinaEast Medical Center,EHPC
23,2,25,14,22,15,0,6,0,3,0,275,176,23,8,10/4/2020,99,340004,WFBMC- High Point MC,THPC
20,4,23,48,56,33,0,6,0,6,0,309,269,19,8,10/15/2020,40,340131,CarolinaEast Medical Center,EHPC
8,2,8,3,5,0,0,2,2,1,0,32,30,6,2,10/11/2020,2,340071,Harnett Health - Central Harnett Hospital,CapRAC
0,2,9,3,3,1,0,0,0,0,1,37,13,7,0,10/6/2020,24,341326,Angel Medical Center,MAHPC
12,0,4,4,4,1,1,1,0,1,0,29,24,4,0,10/29/2020,5,341318,Vidant Chowan Hospital,EHPC
